sample_fp	plate	cycle	well	tile
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-054__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	54
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-055__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	55
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-056__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	56
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-057__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	57
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-058__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	58
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-059__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	59
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-060__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	60
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-061__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	61
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-062__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	62
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-063__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	63
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-064__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	64
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-065__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	65
/lab/ops_data/nebo/plate_1/input_sbs/c1/10x/P001_Wells-A3_Points-066__Channel_Cy7,Cy5,AF594,Cy3_SBS,DAPI_SBS.nd2	1	1	A3	66
