index	sample_fp	plate	well	tile	round
40900	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-015__Channel_DAPI,GFP.nd2	1	B2	15	2
40901	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-015__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	15	3
40902	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-016__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	16	1
40903	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-016__Channel_DAPI,GFP.nd2	1	B2	16	2
40904	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-016__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	16	3
40905	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-017__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	17	1
40906	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-017__Channel_DAPI,GFP.nd2	1	B2	17	2
40907	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-017__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	17	3
40908	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-018__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	18	1
40909	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-018__Channel_DAPI,GFP.nd2	1	B2	18	2
40910	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-018__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	18	3
40911	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-019__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	19	1
40912	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-019__Channel_DAPI,GFP.nd2	1	B2	19	2
40913	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-019__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	19	3
40914	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-020__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	20	1
40915	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-020__Channel_DAPI,GFP.nd2	1	B2	20	2
40916	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-020__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	20	3
40917	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-021__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	21	1
40918	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-021__Channel_DAPI,GFP.nd2	1	B2	21	2
40919	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-021__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	21	3
40920	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-022__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	22	1
40921	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-022__Channel_DAPI,GFP.nd2	1	B2	22	2
40922	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-022__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	22	3
40923	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-023__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	23	1
40924	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-023__Channel_DAPI,GFP.nd2	1	B2	23	2
40925	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-023__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	23	3
40926	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_1/20250403_160659_394/P001_Wells-B2_Points-024__Channel_DAPI,AF750,Cy3,Cy5.nd2	1	B2	24	1
40927	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_2/20250408_152306_799/P001_Wells-B2_Points-024__Channel_DAPI,GFP.nd2	1	B2	24	2
40928	/archive/cheeseman/brieflow_screens/nebo/plate_1/input_ph/round_3/20250411_114421_626/P001_Wells-B2_Points-024__Channel_DAPI,AF750,Cy3,Cy5,GFP.nd2	1	B2	24	3
